name,path,cssCustomProperty,defaultValue,description,exampleValue,usage,cssProperties,source
color.chart.categorical.4.hovered,color; chart; categorical; 4; hovered,--ds-chart-categorical-4-hovered,#E06C00,Hovered state of color.chart.categorical.4.,#E06C00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.5,color; chart; categorical; 5; [default],--ds-chart-categorical-5,#1558BC,For data visualisation only. Follow numbered sequence.,#1558BC,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.5.hovered,color; chart; categorical; 5; hovered,--ds-chart-categorical-5-hovered,#123263,Hovered state of color.chart.categorical.5.,#123263,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.6,color; chart; categorical; 6; [default],--ds-chart-categorical-6,#964AC0,For data visualisation only. Follow numbered sequence.,#964AC0,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.6.hovered,color; chart; categorical; 6; hovered,--ds-chart-categorical-6-hovered,#803FA5,Hovered state of color.chart.categorical.6.,#803FA5,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.7,color; chart; categorical; 7; [default],--ds-chart-categorical-7,#42B2D7,For data visualisation only. Follow numbered sequence.,#42B2D7,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.7.hovered,color; chart; categorical; 7; hovered,--ds-chart-categorical-7-hovered,#2898BD,Hovered state of color.chart.categorical.7.,#2898BD,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.8,color; chart; categorical; 8; [default],--ds-chart-categorical-8,#BD5B00,For data visualisation only. Follow numbered sequence.,#BD5B00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.categorical.8.hovered,color; chart; categorical; 8; hovered,--ds-chart-categorical-8-hovered,#7A3B00,Hovered state of color.chart.categorical.8.,#7A3B00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.lime.bold,color; chart; lime; bold; [default],--ds-chart-lime-bold,#6A9A23,For data visualisation only.,#6A9A23,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.lime.bold.hovered,color; chart; lime; bold; hovered,--ds-chart-lime-bold-hovered,#5B7F24,Hovered state of color.chart.lime.bold.,#5B7F24,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.lime.bolder,color; chart; lime; bolder; [default],--ds-chart-lime-bolder,#5B7F24,For data visualisation only.,#5B7F24,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.lime.bolder.hovered,color; chart; lime; bolder; hovered,--ds-chart-lime-bolder-hovered,#4C6B1F,Hovered state of color.chart.lime.bolder.,#4C6B1F,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.lime.boldest,color; chart; lime; boldest; [default],--ds-chart-lime-boldest,#4C6B1F,For data visualisation only.,#4C6B1F,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.lime.boldest.hovered,color; chart; lime; boldest; hovered,--ds-chart-lime-boldest-hovered,#37471F,Hovered state of color.chart.lime.boldest.,#37471F,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.neutral,color; chart; neutral; [default],--ds-chart-neutral,#8C8F97,A secondary color for data visualisation or to communicate 'to-do' statues.,#8C8F97,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.neutral.hovered,color; chart; neutral; hovered,--ds-chart-neutral-hovered,#7D818A,Hovered state of color.chart.neutral.,#7D818A,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.red.bold,color; chart; red; bold; [default],--ds-chart-red-bold,#F15B50,For data visualisation only.,#F15B50,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.red.bold.hovered,color; chart; red; bold; hovered,--ds-chart-red-bold-hovered,#E2483D,Hovered state of color.chart.red.bold.,#E2483D,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.red.bolder,color; chart; red; bolder; [default],--ds-chart-red-bolder,#E2483D,For data visualisation only.,#E2483D,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.red.bolder.hovered,color; chart; red; bolder; hovered,--ds-chart-red-bolder-hovered,#C9372C,Hovered state of color.chart.red.bolder.,#C9372C,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.red.boldest,color; chart; red; boldest; [default],--ds-chart-red-boldest,#AE2E24,For data visualisation only.,#AE2E24,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.red.boldest.hovered,color; chart; red; boldest; hovered,--ds-chart-red-boldest-hovered,#5D1F1A,Hovered state of color.chart.red.boldest.,#5D1F1A,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.orange.bold,color; chart; orange; bold; [default],--ds-chart-orange-bold,#E06C00,For data visualisation only.,#E06C00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.orange.bold.hovered,color; chart; orange; bold; hovered,--ds-chart-orange-bold-hovered,#BD5B00,Hovered state of color.chart.orange.bold.,#BD5B00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.orange.bolder,color; chart; orange; bolder; [default],--ds-chart-orange-bolder,#BD5B00,For data visualisation only.,#BD5B00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.orange.bolder.hovered,color; chart; orange; bolder; hovered,--ds-chart-orange-bolder-hovered,#9E4C00,Hovered state of color.chart.orange.bolder.,#9E4C00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.orange.boldest,color; chart; orange; boldest; [default],--ds-chart-orange-boldest,#7A3B00,For data visualisation only.,#7A3B00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.orange.boldest.hovered,color; chart; orange; boldest; hovered,--ds-chart-orange-boldest-hovered,#693200,Hovered state of color.chart.orange.boldest.,#693200,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.yellow.bold,color; chart; yellow; bold; [default],--ds-chart-yellow-bold,#B38600,For data visualisation only.,#B38600,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
color.chart.yellow.bold.hovered,color; chart; yellow; bold; hovered,--ds-chart-yellow-bold-hovered,#946F00,Hovered state of color.chart.yellow.bold.,#946F00,The color for chart and data visualization elements (e.g. color.chart),fill; stroke; background-color; color,token-metadata.codegen.js
